folder	movie	character	line-count
LEGO TITAN	EPISODE 102	mateo	56
LEGO TITAN	EPISODE 102	mr oz	55
LEGO TITAN	EPISODE 102	izzie	47
LEGO TITAN	EPISODE 102	cooper	26
LEGO TITAN	EPISODE 102	night hunter	14
LEGO TITAN	EPISODE 102	albert	7
LEGO TITAN	EPISODE 102	logan	6
LEGO TITAN	EPISODE 102	nightmare king	3
LEGO TITAN	EPISODE 102	sneak	2
LEGO TITAN	EPISODE 102	susan	1
LEGO TITAN	EPISODE 102	snivel	1
LEGO TITAN	EPISODE 102	zoey	1
LEGO TITAN	EPISODE 103	izzie	60
LEGO TITAN	EPISODE 103	mr oz	48
LEGO TITAN	EPISODE 103	logan	42
LEGO TITAN	EPISODE 103	albert	39
LEGO TITAN	EPISODE 103	mateo	31
LEGO TITAN	EPISODE 103	cooper	24
LEGO TITAN	EPISODE 103	nova	8
LEGO TITAN	EPISODE 103	mrs castillo	6
LEGO TITAN	EPISODE 103	nightmare king	5
LEGO TITAN	EPISODE 103	night hunter	5
LEGO TITAN	EPISODE 103	forgemaster	5
LEGO TITAN	EPISODE 103	coach jeffreys	5
LEGO TITAN	EPISODE 103	mr hopper	4
LEGO TITAN	EPISODE 103	jay	4
LEGO TITAN	EPISODE 103	news stand guy	2
LEGO TITAN	EPISODE 103	dallas	2
LEGO TITAN	EPISODE 103	zoey	1
LEGO TITAN	EPISODE 103	jadyn	1
LEGO TITAN	EPISODE 105	izzie	68
LEGO TITAN	EPISODE 105	logan	57
LEGO TITAN	EPISODE 105	mateo	56
LEGO TITAN	EPISODE 105	oz	51
LEGO TITAN	EPISODE 105	yeti	36
LEGO TITAN	EPISODE 105	coop	35
LEGO TITAN	EPISODE 105	dark archer	13
LEGO TITAN	EPISODE 105	nightmare king	10
LEGO TITAN	EPISODE 105	albert	2
LEGO TITAN	EPISODE 107	logan	108
LEGO TITAN	EPISODE 107	mateo	94
LEGO TITAN	EPISODE 107	izzie	43
LEGO TITAN	EPISODE 107	burrzerker	40
LEGO TITAN	EPISODE 107	cooper	36
LEGO TITAN	EPISODE 107	mr oz	21
LEGO TITAN	EPISODE 107	zoey	15
LEGO TITAN	EPISODE 107	albert	8
LEGO TITAN	EPISODE 107	nightmare king	4
LEGO TITAN	EPISODE 108	izzie	80
LEGO TITAN	EPISODE 108	coop	43
LEGO TITAN	EPISODE 108	logan	28
LEGO TITAN	EPISODE 108	teo (aka mateo)	24
LEGO TITAN	EPISODE 108	jay	17
LEGO TITAN	EPISODE 108	coach jeffreys	16
LEGO TITAN	EPISODE 108	nightmare king	15
LEGO TITAN	EPISODE 108	zoey	13
LEGO TITAN	EPISODE 108	ms putnam	11
LEGO TITAN	EPISODE 108	ms ramos	5
LEGO TITAN	EPISODE 108	mrs castillo	5
LEGO TITAN	EPISODE 108	shelley	4
LEGO TITAN	EPISODE 108	nova	3
LEGO TITAN	EPISODE 108	bodega clerk	3
LEGO TITAN	EPISODE 108	dallas	1
LEGO TITAN	EPISODE 108	susan	1
LEGO TITAN	EPISODE 108	lemming #1	1
LEGO TITAN	EPISODE 108	lemming #2	1
LEGO TITAN	EPISODE 108	lemming #3	1
LEGO TITAN	EPISODE 109	logan	59
LEGO TITAN	EPISODE 109	mateo	55
LEGO TITAN	EPISODE 109	nightmare king	41
LEGO TITAN	EPISODE 109	izzie	41
LEGO TITAN	EPISODE 109	cooper	36
LEGO TITAN	EPISODE 109	zoey	17
LEGO TITAN	EPISODE 109	sneak	11
LEGO TITAN	EPISODE 109	dallas	7
LEGO TITAN	EPISODE 109	dark archer	6
LEGO TITAN	EPISODE 109	jadyn	6
LEGO TITAN	EPISODE 109	coach jeffries	5
LEGO TITAN	EPISODE 109	snivel	2
LEGO TITAN	EPISODE 109	susan	2
LEGO TITAN	EPISODE 109	mrs castillo	2
LEGO TITAN	EPISODE 110	logan	43
LEGO TITAN	EPISODE 110	mr oz	36
LEGO TITAN	EPISODE 110	mateo	36
LEGO TITAN	EPISODE 110	dark archer	27
LEGO TITAN	EPISODE 110	sneak	27
LEGO TITAN	EPISODE 110	izzie	20
LEGO TITAN	EPISODE 110	zoey	14
LEGO TITAN	EPISODE 110	nightmare king	7
LEGO TITAN	EPISODE 110	coach jeffreys	6
LEGO TITAN	EPISODE 110	cooper	6
LEGO TITAN	EPISODE 110	albert	6
LEGO TITAN	EPISODE 110	snivel	4
LEGO TITAN	EPISODE 110	susan	4
LEGO TITAN	EPISODE 111	zoey	78
LEGO TITAN	EPISODE 111	izzie	56
LEGO TITAN	EPISODE 111	mateo	42
LEGO TITAN	EPISODE 111	cooper	39
LEGO TITAN	EPISODE 111	nova	27
LEGO TITAN	EPISODE 111	oz	24
LEGO TITAN	EPISODE 111	jay	23
LEGO TITAN	EPISODE 111	logan	21
LEGO TITAN	EPISODE 111	albert	18
LEGO TITAN	EPISODE 111	nightmare king	11
LEGO TITAN	EPISODE 111	coach jeffreys	10
LEGO TITAN	EPISODE 111	chief inspector strick	8
LEGO TITAN	EPISODE 111	night hunter	7
LEGO TITAN	EPISODE 111	jadyn	6
LEGO TITAN	EPISODE 111	ms putnam	4
LEGO TITAN	EPISODE 111	aunt jenny	3
LEGO TITAN	EPISODE 111	dallas	1
LEGO TITAN	EPISODE 112	mateo	76
LEGO TITAN	EPISODE 112	zoey	58
LEGO TITAN	EPISODE 112	izzi	55
LEGO TITAN	EPISODE 112	agent strick	35
LEGO TITAN	EPISODE 112	coop	33
LEGO TITAN	EPISODE 112	oz	32
LEGO TITAN	EPISODE 112	albert	15
LEGO TITAN	EPISODE 112	logan	13
LEGO TITAN	EPISODE 112	nightmare king	10
LEGO TITAN	EPISODE 112	dark archer	6
LEGO TITAN	EPISODE 112	jayden	4
LEGO TITAN	EPISODE 114	mateo	38
LEGO TITAN	EPISODE 114	izzie	26
