folder	movie	character	line-count
LEGO TITAN	EPISODE 102	mateo	67
LEGO TITAN	EPISODE 102	izzie	60
LEGO TITAN	EPISODE 102	mr. oz	36
LEGO TITAN	EPISODE 102	cooper	35
LEGO TITAN	EPISODE 102	albert	16
LEGO TITAN	EPISODE 102	night hunter	13
LEGO TITAN	EPISODE 102	logan	9
LEGO TITAN	EPISODE 102	sneak	3
LEGO TITAN	EPISODE 102	mr. oz   in	3
LEGO TITAN	EPISODE 102	mr. oz in	3
LEGO TITAN	EPISODE 102	nightmare king	3
LEGO TITAN	EPISODE 102	susan	2
LEGO TITAN	EPISODE 102	new 22 min revision	1
LEGO TITAN	EPISODE 102	anything.          in	1
LEGO TITAN	EPISODE 102	catcher swings out menacingly.	1
LEGO TITAN	EPISODE 102	snivel	1
LEGO TITAN	EPISODE 102	outside	1
LEGO TITAN	EPISODE 102	what is that??	1
LEGO TITAN	EPISODE 102	zoey	1
LEGO TITAN	EPISODE 102	everyone	1
LEGO TITAN	EPISODE 102	the dream chasers...	1
LEGO TITAN	EPISODE 103	izzie	86
LEGO TITAN	EPISODE 103	logan	56
LEGO TITAN	EPISODE 103	mateo	48
LEGO TITAN	EPISODE 103	mr. oz	38
LEGO TITAN	EPISODE 103	cooper	33
LEGO TITAN	EPISODE 103	albert	24
LEGO TITAN	EPISODE 103	forgemaster	12
LEGO TITAN	EPISODE 103	nova	10
LEGO TITAN	EPISODE 103	mrs. castillo	9
LEGO TITAN	EPISODE 103	nightmare king	5
LEGO TITAN	EPISODE 103	jadyn	5
LEGO TITAN	EPISODE 103	coach jeffreys	4
LEGO TITAN	EPISODE 103	night hunter	3
LEGO TITAN	EPISODE 103	mr. hopper	3
LEGO TITAN	EPISODE 103	these realms from that!	2
LEGO TITAN	EPISODE 103	arrrghhhh!	2
LEGO TITAN	EPISODE 103	a rapid-fire sequence --	2
LEGO TITAN	EPISODE 103	pronto, mrs. c!	2
LEGO TITAN	EPISODE 103	jay	2
LEGO TITAN	EPISODE 103	i must have it!	1
LEGO TITAN	EPISODE 103	mr. oz in	1
LEGO TITAN	EPISODE 103	dallas	1
LEGO TITAN	EPISODE 103	zoey	1
LEGO TITAN	EPISODE 103	lose z blob...	1
LEGO TITAN	EPISODE 103	omg, nova... what’s wrong?!	1
LEGO TITAN	EPISODE 105	mateo	52
LEGO TITAN	EPISODE 105	izzie	44
LEGO TITAN	EPISODE 105	logan	44
LEGO TITAN	EPISODE 105	yeti	36
LEGO TITAN	EPISODE 105	coop	32
LEGO TITAN	EPISODE 105	nightmare king	6
LEGO TITAN	EPISODE 105	albert	5
LEGO TITAN	EPISODE 105	dark archer	5
LEGO TITAN	EPISODE 105	izzie  in	3
LEGO TITAN	EPISODE 105	mateo     in	2
LEGO TITAN	EPISODE 105	avatar.	1
LEGO TITAN	EPISODE 105	establish: pillow peak	1
LEGO TITAN	EPISODE 105	sorts of hiking gear.	1
LEGO TITAN	EPISODE 105	hrmmmmphhhhh!	1
LEGO TITAN	EPISODE 105	everyone	1
LEGO TITAN	EPISODE 105	one, two, three!	1
LEGO TITAN	EPISODE 105	so stupid!	1
LEGO TITAN	EPISODE 105	group	1
LEGO TITAN	EPISODE 105	now!	1
LEGO TITAN	EPISODE 105	by the bleachers,             in	1
LEGO TITAN	EPISODE 105	back with mateo	1
LEGO TITAN	EPISODE 107	logan	76
LEGO TITAN	EPISODE 107	mateo	68
LEGO TITAN	EPISODE 107	burrzerker	36
LEGO TITAN	EPISODE 107	izzie	35
LEGO TITAN	EPISODE 107	cooper	31
LEGO TITAN	EPISODE 107	mr. oz	22
LEGO TITAN	EPISODE 107	zoey	13
LEGO TITAN	EPISODE 107	lance	12
LEGO TITAN	EPISODE 107	albert	11
LEGO TITAN	EPISODE 107	nightmare king	4
LEGO TITAN	EPISODE 107	burrzerkerin	3
LEGO TITAN	EPISODE 107	izzie     in	2
LEGO TITAN	EPISODE 107	logan/mateo	2
LEGO TITAN	EPISODE 107	zoey   in	2
LEGO TITAN	EPISODE 107	mateo     in	2
LEGO TITAN	EPISODE 107	i am...	1
LEGO TITAN	EPISODE 107	sense!           in	1
LEGO TITAN	EPISODE 107	your skills! dreamcrafting skills.	1
LEGO TITAN	EPISODE 107	safer in here.     in	1
LEGO TITAN	EPISODE 107	strike!	1
LEGO TITAN	EPISODE 107	mateo/logan	1
LEGO TITAN	EPISODE 107	logan/cooper	1
LEGO TITAN	EPISODE 108	izzie	89
LEGO TITAN	EPISODE 108	teo	68
LEGO TITAN	EPISODE 108	logan	48
LEGO TITAN	EPISODE 108	coop	48
LEGO TITAN	EPISODE 108	coach jeffreys	22
LEGO TITAN	EPISODE 108	ms. putnam	19
LEGO TITAN	EPISODE 108	lance	15
LEGO TITAN	EPISODE 108	jay	14
LEGO TITAN	EPISODE 108	zoey	11
LEGO TITAN	EPISODE 108	shelley	9
LEGO TITAN	EPISODE 108	nova	7
LEGO TITAN	EPISODE 108	dallas	6
LEGO TITAN	EPISODE 108	mrs. castillo	6
LEGO TITAN	EPISODE 108	ms. ramos	3
LEGO TITAN	EPISODE 108	lance  in	3
LEGO TITAN	EPISODE 108	coop and logan	2
LEGO TITAN	EPISODE 108	nightmare king	2
LEGO TITAN	EPISODE 108	susan	1
LEGO TITAN	EPISODE 108	bodega clerk	1
LEGO TITAN	EPISODE 108	dreamy paramedic jay	1
LEGO TITAN	EPISODE 108	zoey    in	1
LEGO TITAN	EPISODE 108	coop and logan                         sheep	1
LEGO TITAN	EPISODE 108	pearl	1
LEGO TITAN	EPISODE 108	coop       in	1
LEGO TITAN	EPISODE 108	fruit. thanks, mrs. c!	1
LEGO TITAN	EPISODE 108	teo, coop and logan	1
LEGO TITAN	EPISODE 108	invigorated! i feel rejuvenated!	1
LEGO TITAN	EPISODE 108	lemming #1                      lemming #	1
LEGO TITAN	EPISODE 108	teo                             coop	1
LEGO TITAN	EPISODE 109	logan	48
LEGO TITAN	EPISODE 109	mateo	42
LEGO TITAN	EPISODE 109	izzie	39
LEGO TITAN	EPISODE 109	cooper	32
LEGO TITAN	EPISODE 109	nightmare king	16
LEGO TITAN	EPISODE 109	zoey	15
LEGO TITAN	EPISODE 109	coach jeffries	7
LEGO TITAN	EPISODE 109	sneak	7
LEGO TITAN	EPISODE 109	jadyn	5
LEGO TITAN	EPISODE 109	dallas	4
LEGO TITAN	EPISODE 109	mateo  in	3
LEGO TITAN	EPISODE 109	lance	2
LEGO TITAN	EPISODE 109	(lance and nk voices	2
LEGO TITAN	EPISODE 109	cooper/izzie	2
LEGO TITAN	EPISODE 109	mateo/cooper	2
LEGO TITAN	EPISODE 109	dark archer	2
LEGO TITAN	EPISODE 109	snivel	1
LEGO TITAN	EPISODE 109	snivel/sneak/susan	1
LEGO TITAN	EPISODE 109	a trillion times.	1
LEGO TITAN	EPISODE 109	full team.        in	1
LEGO TITAN	EPISODE 109	smash to:	1
LEGO TITAN	EPISODE 109	close on logan.	1
LEGO TITAN	EPISODE 109	mrs. castillo	1
LEGO TITAN	EPISODE 109	ahh! don’t do that!	1
LEGO TITAN	EPISODE 109	susan	1
LEGO TITAN	EPISODE 110	mr. oz	95
LEGO TITAN	EPISODE 110	mateo	92
LEGO TITAN	EPISODE 110	logan	83
LEGO TITAN	EPISODE 110	dark archer	76
LEGO TITAN	EPISODE 110	sneak	53
LEGO TITAN	EPISODE 110	zoey	47
LEGO TITAN	EPISODE 110	cooper	33
LEGO TITAN	EPISODE 110	izzie	28
LEGO TITAN	EPISODE 110	susan	21
LEGO TITAN	EPISODE 110	nightmare king	21
LEGO TITAN	EPISODE 110	coach jeffreys	18
LEGO TITAN	EPISODE 110	lo-lo	17
LEGO TITAN	EPISODE 110	albert	12
LEGO TITAN	EPISODE 110	snivel	11
LEGO TITAN	EPISODE 110	grimhold...	7
LEGO TITAN	EPISODE 110	run!	4
LEGO TITAN	EPISODE 110	with luna’s hourglass.	3
LEGO TITAN	EPISODE 110	ominous shadowkeep looms...	2
LEGO TITAN	EPISODE 110	if i can’t dreamcraft?	2
LEGO TITAN	EPISODE 110	wait! don’t hurt him...	2
LEGO TITAN	EPISODE 110	plan b...	2
LEGO TITAN	EPISODE 110	title sequence rolls	1
LEGO TITAN	EPISODE 110	wait!	1
LEGO TITAN	EPISODE 111	zoey	59
LEGO TITAN	EPISODE 111	cooper	46
LEGO TITAN	EPISODE 111	mateo	34
LEGO TITAN	EPISODE 111	izzie	34
LEGO TITAN	EPISODE 111	logan	22
LEGO TITAN	EPISODE 111	coach jeffreys	18
LEGO TITAN	EPISODE 111	nova	15
LEGO TITAN	EPISODE 111	albert	15
LEGO TITAN	EPISODE 111	jay	15
LEGO TITAN	EPISODE 111	nightmare king	10
LEGO TITAN	EPISODE 111	jadyn	6
LEGO TITAN	EPISODE 111	z blob!!!!	5
LEGO TITAN	EPISODE 111	whooshing by... and	4
LEGO TITAN	EPISODE 111	dallas	3
LEGO TITAN	EPISODE 111	zoey     in	3
LEGO TITAN	EPISODE 111	the air.	2
LEGO TITAN	EPISODE 111	jadyn   in	2
LEGO TITAN	EPISODE 111	albert in	2
LEGO TITAN	EPISODE 111	with zoey	2
LEGO TITAN	EPISODE 111	hurt!	2
LEGO TITAN	EPISODE 111	i knew it!	1
LEGO TITAN	EPISODE 111	mateo   in	1
LEGO TITAN	EPISODE 111	montage	1
LEGO TITAN	EPISODE 111	coincidence? i think not!	1
LEGO TITAN	EPISODE 111	gingerbread house to pieces.	1
LEGO TITAN	EPISODE 111	uh... well i...	1
LEGO TITAN	EPISODE 111	nearby	1
LEGO TITAN	EPISODE 111	end of episode	1
LEGO TITAN	EPISODE 112	mateo	54
LEGO TITAN	EPISODE 112	zoey	51
LEGO TITAN	EPISODE 112	izzi	48
LEGO TITAN	EPISODE 112	coop	31
LEGO TITAN	EPISODE 112	agent strick	21
LEGO TITAN	EPISODE 112	logan	17
LEGO TITAN	EPISODE 112	albert	17
LEGO TITAN	EPISODE 112	nightmare king	5
LEGO TITAN	EPISODE 112	dark archer	4
LEGO TITAN	EPISODE 112	jayden	2
LEGO TITAN	EPISODE 112	his buddy.                  in	1
LEGO TITAN	EPISODE 112	her plan?        in	1
LEGO TITAN	EPISODE 112	across the room	1
LEGO TITAN	EPISODE 112	with izzi	1
LEGO TITAN	EPISODE 112	footballs.                 in	1
LEGO TITAN	EPISODE 112	continuous	1
LEGO TITAN	EPISODE 112	on the sharkface deck	1
LEGO TITAN	EPISODE 112	rope.	1
LEGO TITAN	EPISODE 112	on the rocketship	1
LEGO TITAN	EPISODE 114	mateo	141
LEGO TITAN	EPISODE 114	mr. oz	76
LEGO TITAN	EPISODE 114	zoey	73
LEGO TITAN	EPISODE 114	logan	70
LEGO TITAN	EPISODE 114	izzie	68
LEGO TITAN	EPISODE 114	night hunter	57
LEGO TITAN	EPISODE 114	albert	45
LEGO TITAN	EPISODE 114	sandman	28
LEGO TITAN	EPISODE 114	cooper	23
LEGO TITAN	EPISODE 114	nightmare king	18
LEGO TITAN	EPISODE 114	coach jeffreys	5
LEGO TITAN	EPISODE 114	hears zoey’s voice singing/humming...	5
LEGO TITAN	EPISODE 114	mysterious woman	4
LEGO TITAN	EPISODE 114	carnival auditions.	3
LEGO TITAN	EPISODE 114	i understand, child...	3
LEGO TITAN	EPISODE 114	susan	3
LEGO TITAN	EPISODE 114	mateo...	3
LEGO TITAN	EPISODE 114	i know...	2
LEGO TITAN	EPISODE 114	i... don’t have one.	1
LEGO TITAN	EPISODE 114	song she sang. i...	1
LEGO TITAN	EPISODE 116	izzie	58
LEGO TITAN	EPISODE 116	manticore	58
LEGO TITAN	EPISODE 116	zoey	56
LEGO TITAN	EPISODE 116	mateo	51
LEGO TITAN	EPISODE 116	logan	36
LEGO TITAN	EPISODE 116	mr. oz	23
LEGO TITAN	EPISODE 116	cooper	22
LEGO TITAN	EPISODE 116	albert	20
LEGO TITAN	EPISODE 116	nightmare king	2
LEGO TITAN	EPISODE 116	gingerbread man	1
LEGO TITAN	EPISODE 116	mateo/izzie/cooper	1
LEGO TITAN	EPISODE 116	mateo/izzie/zoey/logan/cooper	1
LEGO TITAN	EPISODE 116	lo-lo	1
LEGO TITAN	EPISODE 116	dark archer	1
LEGO TITAN	EPISODE 117	mateo	57
LEGO TITAN	EPISODE 117	cooper	49
LEGO TITAN	EPISODE 117	mr. oz	42
LEGO TITAN	EPISODE 117	izzie	31
LEGO TITAN	EPISODE 117	nightmare king	28
LEGO TITAN	EPISODE 117	zoey	20
LEGO TITAN	EPISODE 117	night hunter	18
LEGO TITAN	EPISODE 117	albert	17
LEGO TITAN	EPISODE 117	logan	12
LEGO TITAN	EPISODE 117	phil	12
LEGO TITAN	EPISODE 117	lo-lo	3
LEGO TITAN	EPISODE 117	zoey/izzie/logan	1
LEGO TITAN	EPISODE 117	mr. oz/cooper	1
LEGO TITAN	EPISODE 117	albert/lo-lo	1
Lionsgate	16 States	april	321
Lionsgate	16 States	josh	201
Lionsgate	16 States	isabella	196
Lionsgate	16 States	colonel bedford	186
Lionsgate	16 States	major stenz	79
Lionsgate	16 States	bedford	49
Lionsgate	16 States	matt	47
Lionsgate	16 States	officer blake	43
Lionsgate	16 States	posey	39
Lionsgate	16 States	doctor	34
Lionsgate	16 States	cole	33
Lionsgate	16 States	lynn	30
Lionsgate	16 States	helicopter pa	15
Lionsgate	16 States	young soldier	12
Lionsgate	16 States	boone	10
Lionsgate	16 States	i remembered something grandpapa	10
Lionsgate	16 States	jen	8
Lionsgate	16 States	sporting goods cashier	8
Lionsgate	16 States	ricky	7
Lionsgate	16 States	pa system	6
Lionsgate	16 States	ginny	5
Lionsgate	16 States	emaciated man	4
Lionsgate	16 States	tiff	4
Lionsgate	16 States	usvc team member	4
Lionsgate	16 States	various neighbors	4
Lionsgate	16 States	everyone	3
Lionsgate	16 States	student	3
Lionsgate	16 States	friendly shopper	3
Lionsgate	16 States	ann	3
Lionsgate	16 States	male nurse	3
Lionsgate	16 States	tall woman	3
Lionsgate	16 States	stenz	3
Lionsgate	16 States	voices	2
Lionsgate	16 States	little brother	2
Lionsgate	16 States	big sister	2
Lionsgate	16 States	beau	2
Lionsgate	16 States	over black-	1
Lionsgate	16 States	josh/april	1
Lionsgate	16 States	female voice	1
Lionsgate	16 States	man’s voice	1
Lionsgate	16 States	father	1
Lionsgate	16 States	male voice	1
Lionsgate	16 States	muddy man	1
Lionsgate	16 States	isabella/posey	1
Lionsgate	16 States	voice	1
Lionsgate	16 States	busy and well i...	1
Lionsgate	16 States	cashier	1
Lionsgate	16 States	deputy	1
Lionsgate	16 States	radio	1
Lionsgate	16 States	jen/cole	1
Lionsgate	16 States	colonel stenz	1
Lionsgate	AMERICAN UNDERDOG	kurt	577
Lionsgate	AMERICAN UNDERDOG	brenda	422
Lionsgate	AMERICAN UNDERDOG	sue	77
